n4665450,雪笠、公鸣：信仰恒久 经年愈坚
n4665699,林辉：还原中共“英雄模范”之江上青
n4667745,林辉：还原中共“英雄模范”之方志敏
n4668900,林辉：还原中共“英雄模范”之向警予
n4668904,墓碑——大饥荒纪实
n7435119,中共卖国之五：割让长白山天池给朝鲜
n7446851,林辉：还原中共“英雄模范”之吉鸿昌
n7458773,林皎皎：“向科学进军”拉开反右运动序幕
n7462902,林辉：还原中共“英雄模范”之杨开慧
n7471131,鲜为人知的蒋介石“抢救大陆学人计划”
n7475143,林辉：还原中共“英雄模范”之瞿秋白
n7474543,这三件奇闻给现代人带来重要警示
n7480979,大陆人不熟悉的蒋中正轶事
n7481309,内控分子——被共产党内部严密控制的人群！
n7500351,林辉：还原中共“英雄模范”之毛泽民
n7509842,石非：纪登奎儿子揭河南溃坝巨祸内幕
n7518911,瓶中喵：拒绝鼓掌拒绝致敬的人
n7522266,林辉：还原中共“英雄模范”之周文雍陈铁军
n7537433,文革五十周年：文革的必然性和发生的条件
n7537857,林辉：还原中共“英雄模范”之刘胡兰
n7542557,林辉：文革批判爱因斯坦和相对论的闹剧
n7544768,张东园：人在走路时 转弯最重要
n7546513,林辉：还原中共“英雄模范”之杨子荣
n7553881,林辉：还原中共“英雄模范”之张思德
n7559516,沉静：听姥姥讲往事
n7560071,老乐：白天不懂夜的黑 西方不懂东方贼
n7530952,夏祷：国父孙中山画像君临天安门广场
n7567336,林辉：还原中共“英雄模范”之黄公略
n7577374,宇祥：风霁月 人品如莲
n7578757,林辉：还原中共“英雄模范”之江姐
n7579554,山人：日军侵华高官与毛泽东谁更没人性
n7633908,胡平：读戚本禹《回忆江青》有感
n7694344,林辉：还原中共“英雄模范”之左权
n7755764,佚名：爱吃“玉仙羹”的周恩来
n7784303,蔡慎坤：警惕林昭的悲剧在中国重演
n7791814,傅国涌：未名湖畔的痛哭
n7797570,林辉：大跃进时“觉悟票”出炉背后
n7862419,林辉：秦城监狱潘扬案主角一死一疯
n7870446,【文史】你不了解的孙权 开疆拓土三分天下
n7885920,张东园：一念可感天动地——“枯井卫瞽”的故事
n7893989,人民“好总理”周恩来竟杀人如麻
n7901754,无眠：文革50周年祭
n7905067,陈乐陵：袭击造反大楼
n7905657,高天韵：文革──党性杀人 变人为魔
n7912168,薛伟：文化大革命在中国
n7925447,王凤昌：抗战初期的四川省主席王缵绪辞官抗战
n7925614,史求真：毛泽东的遗产──一穷二黑
n7930211,善言：“你不该抵罪，我不该绝后！”
n7931406,宋慧敏：船翻了友谊还在
n7932765,横河：文革反思 刘少奇为什么斗不过毛泽东
n7935926,佚名：“土改”摧毁了中华民族的所有道德和传统
n7938426,林辉：还原中共“英雄模范”之李公朴闻一多
n7944858,叶观星：为什么会有文化大革命
n7948988,孟醒：东方辛德勒──二战中营救犹太人的日本外交官
n7950641,杨奎松：孙中山曾想把共产党开除出国民党
n7951449,佚名：未出境的大师们 文革全被害
n7958542,聂作平：礼崩乐坏时代的高官典型
n7962359,程万军：“史上最强外敌”怎五十年未征服中国？
n7965851,梁尧：您在工作中的选择明智吗？
n7967348,莲子：六四 情结（三）
n7966861,林辉：还原中共“英雄模范”之夏明翰
n7996012,杨光：文革与个人崇拜
n8002640,闵良臣：不清算文革不追究毛泽东是害怕追到自己头上
n8007265,许茹：古今暴君下场之夏桀
n8010636,许茹：古今暴君下场之商纣王
n8019247,《共产党宣言》首印出错 马克思称污秽之书
n8027706,文史漫谈：勤俭节约 克制贪欲
n8033926,林辉：还原中共“英雄模范”之埃德加•斯诺
n8037325,沈彻：带领中国成为世界第二大经济体的清政府为什么会倒台？
n8041621,同舟：说说“文革”期间被破坏的著名文物
n8041674,林辉：还原中共“英雄模范”之叶挺
n8051221,文史漫谈：妒嫉之心 害人害己
n8057374,许茹：古今暴君下场之尼禄
n8063314,鲍彤：“伟光正”的由来和两个决议的童话
n8069297,林辉：还原中共“英雄模范”之董存瑞
n8076313,林辉：还原中共“英雄模范”之韦拔群
n8076529,周正：心系苍生 天祐之
n8084246,张东园：中共迫害文化精英实录（一）
n8087731,积善仁爱 得以厚报
n8099263,张东园：中共迫害文化精英实录（二）
n8099741,蔡慎坤：德国人的“强国梦”为何成噩梦？
n8106087,许茹：古今暴君下场之周厉王
n8114397,太阳史家：罗马尼亚人民起义 共产党解体
n8130815,晓明：都庞萌渚也落泪，富江河水更悲咽
n8141317,林辉：释放万余中共政治犯的国民党高官之死
n8143459,张东园：中共迫害文化精英实录（三）
n8146356,慧文：写在唐山大地震四十周年
n8153832,华桂枝：君住长江尾（上）
n8158666,张东园：中共迫害文化精英实录（四）
n8166675,林辉：父亲铁丝穿鼻 中共高官亲牵游街
n8172698,张东园：中共迫害文化精英实录（五）
n8177791,北明：“不要相信我服罪”
n8182524,林辉：还原中共“英雄模范”之钱壮飞
n8189516,史求真 ：“文化大革命”实乃“暴力大破坏”
n8202772,抗战初期的四川省主席王缵绪——在毛政权下的窘境
n8205636,林辉：谱曲红歌的音乐人之厄运
n8211205,从陈平谈到东南亚排华及华裔身份认同
n8222139,林辉：还原中共“英雄模范”之张学良
n8231516,林辉：还原中共“英雄模范”之杨虎城
n8237870,郑义：在文革50周年反思研讨会上的两次发言
n8253155,史留香：疯狂的“破四旧”
n8260431,林辉：还原中共“英雄模范”之彭雪枫
n8274505,林辉：毛除之而后快的中共“五方特务”
n8286793,林辉：还原中共“感动中国人物”之王进喜
n8301515,胡平：文革中废除高考制度的幕后原因
n8308867,林辉：还原中共“感动中国人物”之毛岸英
n8315002,关乐：口蜜腹剑 七窍流血
n8321449,林辉：还原中共“感动中国人物”之刘文学
n8332426,林辉：还原中共“感动中国人物”之王杰
n8345604,太阳史家：捷克斯拉伐克《七七宪章》的胜利
n8348681,林辉：还原中共“感动中国人物”之时传祥
n8354486,唐仕：说说我的故事（上）
n8358690,唐仕：说说我的故事（中）
n8362205,林辉：还原中共“感动中国人物”之彭加木
n8365492,唐仕：说说我的故事（下）
n8367977,林辉：还原中共“感动中国人物”之容国团
n8374627,林辉：还原中共“感动中国人物”之草原小姐妹
n8379787,石平：反人类罪、群体灭绝罪正在中国发生
n8382011,林辉：还原中共“感动中国人物”之孔繁森
n8388830,杨宁：走完长征的国民党中将的可叹结局
n8402587,林辉：执笔《九评苏共》的王力可悲人生
n8406622,同真：由武昌起义谈中共倒台
n8418336,林辉：“二流堂”案闹剧背后被戕害的文化人
n8431232,佚名：中共历次运动剖析
n8431774,林辉：还原中共“感动中国人物”之焦裕禄
n8438140,纯真：读《封神演义》 借古鉴今
n8439386,欣明：德不配位 必有灾殃
n8443029,叶青：还记得七十年前的沈崇事件吗？
n8458859,林辉：还原中共“感动中国人物”之欧阳海
n8490119,杨宁：将希特勒逼上法庭盘问的德国律师（上）
n8493071,秦山：《贞观政要》与《康熙政要》(上)
n8496151,秦山：《贞观政要》与《康熙政要》(下)
n8496670,杨宁：将希特勒逼上法庭盘问的德国律师（下）
n8503133,金剑平：中共用“对日寇的最后一战”来发动内战(上)
n8503227,金剑平：中共用“对日寇的最后一战”来发动内战(中)
n8503279,金剑平：中共用“对日寇的最后一战”来发动内战(下)
n8503309,金剑平：中共用“对日寇的最后一战”来发动内战（完整版）
n8519039,周日清：华人世界再无蒋经国
n8530958,林辉：还原中共“感动中国人物”之任长霞
n8586425,关乐：“西安事变”和解主线之三
n8605707,关乐：“西安事变”和解主线之十一
n8621324,林辉：还原中共“感动中国人物”之谭千秋
n8659255,周晓辉：巴黎公社点燃的那场大火
n8662587,林辉：中共的生日为何变来变去？
n8666081,周晓辉：“十月革命”是列宁发动的军事政变
n8668553,玉清心：打开右派自杀档案 让人欲哭无泪
n8669027,林辉：中共武装保卫苏联与李大钊之死
n8671842,周晓辉：共产党“五大导师”之马克思（上）
n8674159,网文：这不是党史——方志敏的“宇宙真理”
n8671884,周晓辉：共产党“五大导师”之马克思（下）
n8677173,林辉：从湖南大知识分子叶德辉被杀说起
n8677531,高天韵：根正苗红的他说“文革是可耻10年”
n8680213,林辉：金陵大学副校长文怀恩被杀的背后
n8681739,高天韵：文革中 他们在南京走向刑场
n8683011,周晓辉：共产党“五大导师”之恩格斯（上）
n8682051,中共“镇反”运动按比例杀人内幕
n8683679,周晓辉：共产党“五大导师”之恩格斯（下）
n8686097,留在大陆的中华民国院士之大结局（一）
n8690231,留在大陆的中华民国院士之大结局（二）
n8690444,蔡慎坤：谁领导了8年抑或14年抗战？
n8690033,金庸父与梁羽生父 中共“镇反”运动中被杀
n8690511,林辉：“刑场上的婚礼”背后的真相
n8694077,留在大陆的中华民国院士之大结局（三）
n8694938,林辉：中共六大文件与红色“山大王”惨死
n8695945,高天韵：反右运动——浸血的世界纪录
n8698102,佚名：为什么蒋介石说“攘外必先安内”？
n8697723,中共官方记载 毛泽东至少六次感谢日本侵华
n8699149,林辉：曾喊出“打倒毛泽东”口号的军队
n8699834,留在大陆的中华民国院士之大结局（四）
n8699786,王友群：习近平父亲遭残酷迫害16年始末
n8697753,毛泽东周恩来放弃日本巨额战争赔偿内幕
n8702670,林辉：中共建国中之国与红色行长毛泽民
n8704531,高天韵：田汉之死–文化名人的文革厄运
n8705505,周晓辉：巴黎公社与中共的百年约定
n8706583,玉清心：葬身火海的云南兵团十名花季少女
n8708536,周晓辉：共产党“五大导师”之列宁（上）
n8711128,辛亥革命名将何海清 年过古稀遭中共杀害
