n11768216,廖祖笙：2020年或为暴政收官年
n11769356,郑纯清：恶党末日临 动辄挨掌嘴
n11769903,关乐：就王志民下台寄语有良港警
n11770359,吐为快：公检法司快收手
n11770373,廖祖笙：千年不遇的乱政
n11770813,伍新：红朝总理令怎总不灵？
n11774213,关乐：小康年 大役现
n11776340,祝君安：一剪梅‧新年新气象
n11778817,港人心声：不想看到宝岛成为第二个香港
n11779632,振玉：炎黄巨难奇耻
n11780866,李清：习近平的唯一出路是解体中共
n11780962,李小刚：脑控原理之DNA共振
n11782397,张林：被中共当成牲口奴役的中国人
n11783273,丹丹：关于香港“明日大屿愿景”
n11783719,陈达：天灭中共还剩几步棋？
n11783874,海网：“空心朽”演“核心秀”
n11785398,项云：老百姓看“打黑除恶”
n11786210,郑纯清：台湾大选观感
n11787398,念贲：没有选票  我们去奋斗去努力
n11787463,理悟：中共不是中国
n11787475,金浴凤：末日党之像
n11788618,吐为快：贺中华民国之民主光大
n11788867,陆客：致习近平的一封信
n11788914,苦胆：一张选票的距离
n11790392,中立：中共与民为敌 期望台湾民主统一大陆
n11791371,【读者投书】中共对穆斯林的迫害成扩大趋势
n11793807,方能达：祝贺《大纪元时报》读者日增
n11794198,文武：国民党的前途与命运
n11794273,祝君安：妖共畜心剖
n11796878,刘博：众志所归——2020台湾大选的启示
n11797512,吐为快：让领导先走
n11797687,金浴凤：春之歌
n11800010,陈达：马屁似拍颠覆声
n11800044,伍新：无花言现花言形——小康年初哭吴花燕
n11802156,关乐：亡党不是梦——由中共要求党章放床头想到的
n11802197,郑纯清：爱国主义最终要党命
n11804120,诸葛高参：行动，灭共于2020
n11804452,金浴凤：赵国的“小康社会”
n11804490, 吐为快：论土共的“贵族气质”
n11804505,关乐： 党领导之一“切”
n11805957,云鹤天：对联两则
n11806623,郑纯清： 她真的死在小康梦里
n11808064,蜀笑笑：论合法
n11808840,谢燕益：新型SARS疫情信息公开申请书
n11812431,祝君安：中共就是邪教
n11812554,梁京：中国爆发“新非典”的警世意义
n11812634,伍新：稳定压倒一切 大疫压得倒吗？
n11813848,【网文】武汉市长必须回答的六个问题
n11813238,十九年前的“伪火”不攻自破的世纪谎言
n11815138,海网：中央维稳专家组专家夸完海口入病房感言
n11816946,关乐：中共的“最高绝密”就是“要命”
n11820280,金浴凤：反躬罪己是解药
n11821946,祝君安：大疫当前，中国人应觉醒
n11824660,吐为快：党与人民异忧乐
n11824682,云鹤天：《忆秦娥▪娄山关》再解
n11826508,徐晓东：中国主观性新闻火遍全网 传播真相极困难
n11826321,李春草：赵国的年滋味
n11826746,关乐： 枪不敌病毒
n11827190,向莉：亲历建三江事件——中国法治路漫漫(一)
n11827632,中共肺炎 疫情到来如何自救？
n11828618,张林：防范冠状病毒的科学方法（之一）
n11829501,慧真：大难“三退”保平安 “九字”吉言是金方
n11829448,金浴凤：妖共的“肺炎共同体”
n11831522,理悟：致武汉同胞
n11829102,向莉：亲历建三江事件——中国法治路漫漫(二)
n11833205,中共肺炎病人家属控诉：政府不把人命当回事
n11833489,郑纯清：中共年关好难熬 熬过更难熬
n11833611,云鹤天：《清平乐▪六盘山》新解
n11833647,千瑞：哀武汉
n11834624,小雪：一留日大陆留学生致同胞书
n11836145,千百度：救救武汉！救救中国！！
n11836748,吐为快：中共是最大病原体
n11836801,胡少江：为当局拘留八“造谣者”点赞的人，你们在忏悔吗？
n11838059,云鹤天：《菩萨蛮▪大柏地》新解
n11838083,理悟：快逃(歌词)
n11838102,李春草：不能让妖共再逍遥
n11838200,伍新：“党员上一线”视频火爆最为党乐见
n11831825,向莉：亲历建三江事件——中国法治路漫漫(三)
n11838771,陈达：隐瞒大疫情如同大暗杀
n11838826,理悟：甩掉头上中共党
n11840325,云鹤天：数据到底准不准
n11840618,吐为快：赵粉的肺腑之哀
n11840675,关乐：红朝大数据
n11840740,海网：党妈的“瘟心怀抱”
n11843320,双元漫画：武汉中共肺炎击碎强国梦
n11845564,理悟：专家苦
n11845576,苦胆：戴口罩的中国
n11846109,关乐：石正丽的性命赌注其实是空头支票
n11846129,伍新：无神论是最大的阴毒谎言
n11850102,张彼得：从武汉疫情看各国反应
n11850211,千百度：方舱医院内幕：没电没药没暖气没吃的
n11852128,《刘伯温碑记》点明避开瘟疫的真言
n11852575,吐为快：中共封网有感
n11853483,慧真：欲上方舟 先弃红船
n11853840,苦胆：眼科医生的职责是让人看清
n11855196,李春草：妖共，人民凭啥相信你？
n11855479,云鹤天：《七律▪长征》新解
n11855849,金浴凤：党的恐怖
n11855861,祝君安：斥武汉的邪恶之徒
n11856229,羊村：狼真的来了（2020中国寓言）
n11856344,中国民主党全国联合总部第四次代表大会在洛杉矶召开
n11856256,武振荣：生死存亡之际的人民呐喊
n11856263,万古缘：真相歌谣（四首）
n11856793,千瑞；中国人，主宰自己！
n11856803,郑纯清：赞方彬
n11858227,金浴凤：踏莎行‧肺炎劫
n11859195,伍新：关于口罩一点思考
n11858249,双元漫画：中共掩盖武汉中共肺炎疫情
n11859244,双元漫画：强制隔离下的悲剧
n11859287,双元漫画：武汉封城 民众痛不欲生
n11859419,陈达：大疫昭告：社会主义集中力量坏大事
n11862572,雷亭：告全世界同胞书
n11862997,苦胆：中南海的“三无人员”
n11864006,云鹤天：长相思‧封
n11864079,万古缘：红祸惊天
n11864027,吐为快：肺疫叹
n11864249,中国人权律师团关于中共病毒疫情的声明
n11864103,金言：破解“蛊毒”与“病毒”
n11865673,陆明：蝶恋花‧三退把命保
n11865710,关乐： 漂红向善克疫病 良知萌芽春笋蓬
n11867182,张志鹏：关于武汉疫情的声明
n11868232,陆言：没有共产党就没有病毒祸
n11868561,徐济：给中共各级知情者的一封劝善信
n11870879,金浴凤：乌托邦之蛊
n11870896,林泉：灾区换官是狼替狼位与羊无关
n11870938,郑纯清：党官鸣冤词
n11870963,归航：警示录
n11870998,林泉：民主联邦灭独裁
n11872011,颜纯钩：战时态令来者不善
n11872653,成都老师开课致辞：不能把冬天唱成春的开始
n11872801,吐为快：春愁
n11873598,云鹤天：《七律▪送瘟神》新解
n11873712,海网：换将谣
n11874822,杜彼得：华人应悬灯照亮跟前 卷幔观天下之时势
n11875621,郑一见：从自焚谎言到武汉封城
n11876063,陈达：灭共天象明
n11876071,陆言：浪淘沙•细思量
n11876084,祝君安：警惕共匪的“治疫”大跃进
n11876287,李春草：春雷
n11877475,方能达：武汉冠状病毒肺炎肆虐 凸显专制之害
n11877497,方能达：中共应付疠疫乏力却坚拒外援
n11877506,中国民主党关于山东警方抓捕任自元先生的严正声明
n11878480,武汉方舱医院一名护士的诗
n11879765,魏京生：中共的隐形战争——乔治‧华盛顿大学的演讲
n11880583,祝君安：登黄鹤楼
n11879977,高峰：两会推迟召开  既为防疫更为防变
n11880601,苦胆：愿你也能得救
